Formula,temperature,power_factor,ZT
Zn4.0Sb3.0,700,0.00102,0.96
Zn4.0Sb3.0,700,0.00112,1.06
Zn4.0Sb3.0,700,0.00112,1.04
Ca3.0Al1.0Sb3.0,700,0.0000682,0.06
Ca2.97Na0.03Al1.0Sb3.0,700,0.000358,0.3
Ca2.94Na0.06Al1.0Sb3.0,700,0.000393,0.32
Ca2.85Na0.15Al1.0Sb3.0,700,0.000379,0.32
Ca5.0Al2.0Sb6.0,700,0.0000648,0.06
Ca4.95Na0.05Al2.0Sb6.0,700,0.000378,0.32
Ca4.75Na0.25Al2.0Sb6.0,700,0.00055,0.47
Ag0.15Sb0.15Te1.15Ge0.85,700,0.00326,1.38
Na0.02Pb1.0Te1.0,700,0.00265,1.33
Na0.02Pb1.0Te0.85Se0.15,700,0.00272,1.5
Na0.02Pb1.0Te0.75Se0.25,700,0.00258,1.39
Tl0.01Pb0.99Te1.0,700,0.0012,0.87
Tl0.02Pb0.98Te1.0,700,0.002,1.39
Ag1.0Cr1.0Se2.0,700,0.000286,0.97
Mo3.0Te4.0,700,0.0000384,0.00603
Mo6.0Te7.0S1.0,700,0.0000239,0.00421
Mo6.0Te6.0S2.0,700,0.0000144,0.00345
Cr1.3Mo6.0S8.0,700,0.000378,0.1
Mn1.3Mo6.0S8.0,700,0.000259,0.08
Fe1.3Mo6.0S8.0,700,0.00027,0.07
Ni2.0Mo6.0S8.0,700,0.0000949,0.02
Cu4.0Mo6.0S8.0,700,0.000657,0.26
Bi1.2S4.0Ti2.0,700,0.000838,0.28
Pb1.8S4.0Ti2.0,700,0.000764,0.27
Sn1.2S4.0Ti2.0,700,0.000912,0.38
Ag9.0Tl1.0Te5.0,700,0.000366,1.28
Cu2.0Se1.0,700,0.000962,0.74
Cu1.98Se1.0,700,0.0011,0.53
La3.0Te3.8Sb0.2,700,0.00057,0.15
La3.0Te3.65Sb0.35,700,0.000407,0.14
La3.0Te3.35Sb0.65,700,0.000352,0.21
La3.0Te3.35Bi0.65,700,0.00039,0.18
La2.99Te4.0,700,0.000414,0.1
La2.74Te4.0,700,0.000595,0.42
Pb0.96Sr0.4Te1.0Na0.2,700,0.00269,1.6
Pb0.98Sr0.2Te1.0Na0.1,700,0.0023,1.56
Pb0.98Te1.0Na0.2,700,0.00247,1.2
Si0.79936Ge0.19984B0.0008,700,0.00202,0.37
Si0.7956Ge0.1989P0.0055,700,0.00274,0.52
Si0.8Ge0.2,700,0.00205,0.56
Mg2.0Si0.999Bi0.001,700,0.00168,0.32
Mg2.0Si0.9985Bi0.0015,700,0.00299,0.64
Mg2.0Si0.997Bi0.003,700,0.00252,0.5
Mg2.0Si0.995Bi0.005,700,0.00237,0.39
Mg2.0Si0.993Bi0.007,700,0.00275,0.44
Mg2.0Si0.98Bi0.02,700,0.00245,0.48
Mg2.0Si0.6Ge0.4Bi0.02,700,0.00227,0.82
Mg2.0Si0.98Ag0.02,700,0.0000559,0.01
Mg2.0Si0.6Ge0.4Ag0.02,700,0.000682,0.19
Mg2.0Si1.0,700,0.00188,0.4
Mg1.95Ca0.05Si1.0,700,0.000917,0.17
Mg1.9Ca0.1Si1.0,700,0.000614,0.11
Mg2.0Si1.0,700,0.00194,0.44
Fe0.998Co0.002Si2.0,700,0.000265,0.04
Fe0.978Co0.00196Si1.96Y0.04O0.06,700,0.000343,0.06
Fe0.978Co0.00196Si1.96Y0.12O0.18,700,0.0000951,0.02
